cod-estabel;tipo-frete;regional;cod-zona;nome-abrev;nr-pedcli;nr-pedrep;situacao;cod-emitente;nome-emit;nome-matriz;cod-emitente-tri;nome-emit-tri;nome-abrev-tri;dt-implant;dt-entrega;cidade;uf;peso;volumes;paletes;nr-simul;dt-fatur;dt-agendamento;porcentagem-in-full;agendado;cdd-embarq;Cliente-de-Agendamento;peso-emb;volumes-emb;paletes-emb;observacao;volumes-pedido;nr-nota-fis;qt-cancelada;situacao-credito;cod-rep;nome-rep;cod-veiculo;desc-veiculo;dt-apr-cred;data-simul;dt-criacao-prog;dt-embarque;dt-daturamento;agenda-solicitada;data-agenda-solicitada;mês-ped;mês-fat;chave;status-agend;status-transpo;infull;canal;tipo-veiculo;destino;gt;gc;lt-cred;lt-form;lt-prog;lt-total;lt-fat-ent;houve_reprog?;smn-fat;status
101;CIF;REGIONAL PE4;101-90;ATACADAO 240;0000/6183;754241;At. Parcial;472590;ATACADAO S.A.;ATACADAO 000;0;;;26/03/2024;26/03/2024;Serra Talhada;PE;2770,95;210;3;920915;27/06/2024;28/06/2024;15,79;no;593282;yes;2770,95;210;3;;1330;?;0;Aprovado;29;PAULO SOBRAL;116;Carreta Baú (25t);26/03/2024;31/05/2024;25/06/2024;26/06/2024;?;no;?;3;6;0000/6183920915;Agenda Confirmada;Pendente;16%;CASH & CARRY;CARRETA;Cliente;FABIANO JOSÉ;DAYANNE M;0;66;25;94;1;yes;S4-JUN;PROGRAMADO
101;CIF;REGIONAL PE2;101-92;INVICTA 3066;0290/0440;2778539;At. Parcial;482419;MAIS INVICTA DISTRIBUIDORA LTDA;MATEUS 0001;0;;;05/04/2024;15/06/2024;Cabo de Santo Agostinho;PE;10037,405;773;12,88333333;922167;05/07/2024;08/07/2024;7,74;no;?;yes;0;0;0;;9990;?;0;Aprovado;29;PAULO SOBRAL;112;Carreta Baú (25t);05/04/2024;06/06/2024;13/06/2024;?;?;no;?;4;7;0290/0440922167;Pendente Agendamento;;8%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;0;62;7;23;3;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL AL;101-17;MERVIL 0001;1250/0021;;At. Parcial;2323;MERVIL MERCANTIL VIEIRA LTDA;MERVIL 0001;0;;;08/04/2024;08/04/2024;ARAPIRACA;AL;202,3875;15;0,3;0;?;?;0;no;?;no;0;0;0;;31306;;0;Aprovado;125;ANDERSON;;;08/04/2024;?;?;?;?;no;?;4;0;1250/00210;;;0%;ATACADO DISTRIBUIDOR;;Cliente;ANDERSON TEODORO;DAVISON;0;0;0;80;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL PE2;101-92;MATEUS 283;0295/0083;;At. Parcial;483379;MATEUS SUPERMERCADOS S.A.;MATEUS 0001;0;;;09/04/2024;09/04/2024;Olinda;PE;995,25;75;1;0;?;?;0;no;?;no;0;0;0;;8177;;0;Aprovado;29;PAULO SOBRAL;;;09/04/2024;?;?;?;?;no;?;4;0;0295/00830;;;1%;CASH & CARRY;;Cliente;EDIWINA GALVAO;DAYANNE M;0;0;0;79;0;no;;SALDOS À CANCELAR
101;CIF;REGIONAL PE2;101-92;MATEUS 290;0295/0084;;At. Parcial;483767;MATEUS SUPERMERCADOS S.A.;MATEUS 0001;0;;;09/04/2024;09/04/2024;Paulista;PE;2912,96;220;3;922437;03/07/2024;04/07/2024;9,57;no;?;yes;0;0;0;;2300;?;0;Aprovado;29;PAULO SOBRAL;110;Truck Baú (13,5t);09/04/2024;07/06/2024;17/06/2024;?;?;no;?;4;7;0295/0084922437;Pendente Agendamento;;10%;CASH & CARRY;TRUCK;Cliente;EDIWINA GALVAO;DAYANNE M;0;59;10;86;1;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE4;101-46;SENDAS 250;0260/0467;19069547/L;At. Parcial;478839;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;10/04/2024;10/04/2024;Petrolina;PE;4481,79;36;6,477579365;0;?;?;0;no;?;yes;0;0;0;;8136;;300;Aprovado;26;FLAVIO MAIA;;;06/05/2024;?;?;?;?;no;?;4;0;0260/04670;;;0%;CASH & CARRY;;Cliente;FABIANO JOSÉ;DAYANNE M;0;0;0;78;0;no;;SALDOS À DEFINIR
101;CIF;REGIONAL PE4;101-46;SENDAS 250;0260/0467;19069547/L;At. Parcial;478839;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;10/04/2024;10/04/2024;Petrolina;PE;25270,7;2084;27,61517092;921429;02/07/2024;04/07/2024;25,61;no;?;yes;0;0;0;;8136;?;0;Aprovado;26;FLAVIO MAIA;116;Carreta Baú (25t);06/05/2024;01/06/2024;25/06/2024;?;?;no;?;4;7;0260/0467921429;Agenda Confirmada;Reagendamento;26%;CASH & CARRY;CARRETA;Cliente;FABIANO JOSÉ;DAYANNE M;26;26;24;85;2;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE2;101-92;INVICTA 3066;0295/0099;2791999;At. Parcial;482419;MAIS INVICTA DISTRIBUIDORA LTDA;MATEUS 0001;0;;;12/04/2024;15/06/2024;Cabo de Santo Agostinho;PE;8865,015;1118;10,77070601;922167;05/07/2024;08/07/2024;29,36;no;?;yes;0;0;0;;3808;?;0;Aprovado;29;PAULO SOBRAL;112;Carreta Baú (25t);12/04/2024;06/06/2024;13/06/2024;?;?;no;?;4;7;0295/0099922167;Pendente Agendamento;;29%;CASH & CARRY;CARRETA;Cliente;EDIWINA GALVAO;DAYANNE M;0;55;7;23;3;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL RN2;101-91;SENDAS 268;0000/6550;19095286;At. Parcial;480772;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;15/04/2024;15/04/2024;Parnamirim;RN;6741,91;509;7,195238095;920794;02/07/2024;04/07/2024;24,47;no;?;yes;0;0;0;;2080;?;0;Aprovado;12;ELIOFÁBIA;110;Truck Baú (13,5t);15/04/2024;29/05/2024;25/06/2024;?;?;no;?;4;7;0000/6550920794;Agenda Solicitada;;24%;CASH & CARRY;TRUCK;Cliente;RIVELLY TAVARES;DAVISON;0;44;27;80;2;yes;S1-JUL;PROGRAMADO
101;CIF;REGIONAL PE2;101-91;SENDAS 109;0000/6571;19095286;At. Parcial;466960;SENDAS DISTRIBUIDORA S/A;SENDAS 510;0;;;15/04/2024;15/04/2024;Paulista;PE;133,62;12;0,15;0;?;?;0;no;?;yes;0;0;0;;4762;;0;Aprovado;29;PAULO SOBRAL;;;15/04/2024;?;?;?;?;no;?;4;0;0000/65710;;;0%;CASH & CARRY;;Cliente;EDIWINA GALVAO;DAYANNE M;0;0;0;73;0;no;;SALDOS À DEFINIR
